id,name,character,season_number,episode_number,type
4138.0,Craig Sheffer,Keith Scott,1,3,cast
20005.0,Moira Kelly,Karen Roe,1,3,cast
23821.0,Bryan Greenberg,Jake Jagielski,1,3,guest stars
58733.0,Jason Davis,Mr. Kelly,1,3,guest stars
51456.0,Rhoda Griffis,Rachel,1,3,guest stars
101623.0,Corey A. Jackson,Brandon,1,3,guest stars
168656.0,Leigh Jones,Pretty Girl,1,3,guest stars
80777.0,Cedric Pendleton,Jeff Nelson,1,3,guest stars
168658.0,Melissa Ponzio,Alice,1,3,guest stars
1477833.0,Marc Tschudi,Kid,1,3,guest stars
155965.0,Amy Parrish,Shari Smith,1,3,guest stars
79499.0,Brett Claywell,Tim,1,3,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,4,cast
98050.0,James Lafferty,Nathan Scott,1,4,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,4,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,4,cast
73035.0,Paul Johansson,Dan Scott,1,4,cast
54830.0,Sophia Bush,Brooke Davis,1,4,cast
12852.0,Barry Corbin,Whitey Durham,1,4,cast
4138.0,Craig Sheffer,Keith Scott,1,4,cast
20005.0,Moira Kelly,Karen Roe,1,4,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,4,guest stars
1214987.0,Austin Carty,Young Dan,1,4,guest stars
1411686.0,Nancy Moreno,Young Karen,1,4,guest stars
92619.0,Drew Seeley,Johnny 'Vegas' Norris,1,4,guest stars
79499.0,Brett Claywell,Tim,1,4,guest stars
1223719.0,Sarah Edwards,Theresa,1,4,guest stars
2682872.0,Christopher Duncan,Kid #2,1,4,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,5,cast
98050.0,James Lafferty,Nathan Scott,1,5,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,5,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,5,cast
73035.0,Paul Johansson,Dan Scott,1,5,cast
54830.0,Sophia Bush,Brooke Davis,1,5,cast
12852.0,Barry Corbin,Whitey Durham,1,5,cast
4138.0,Craig Sheffer,Keith Scott,1,5,cast
20005.0,Moira Kelly,Karen Roe,1,5,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,5,guest stars
1411688.0,Terry Horton,PA Announcer (voice),1,5,guest stars
8663.0,Jon Stafford,Max,1,5,guest stars
1411689.0,Tracy Williams,Bruce,1,5,guest stars
79499.0,Brett Claywell,Tim,1,5,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,6,cast
98050.0,James Lafferty,Nathan Scott,1,6,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,6,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,6,cast
73035.0,Paul Johansson,Dan Scott,1,6,cast
54830.0,Sophia Bush,Brooke Davis,1,6,cast
12852.0,Barry Corbin,Whitey Durham,1,6,cast
4138.0,Craig Sheffer,Keith Scott,1,6,cast
20005.0,Moira Kelly,Karen Roe,1,6,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,6,guest stars
166897.0,Lee Norris,Mouth McFadden,1,6,guest stars
77796.0,Sam Horrigan,Thing,1,6,guest stars
78598.0,Dave Power,Thing #3,1,6,guest stars
1214865.0,B.J. Britt,Ref,1,6,guest stars
1411690.0,Dan Becker,Thing #1,1,6,guest stars
52490.0,Robert C. Treveiler,Entrepreneur,1,6,guest stars
1477845.0,Jeff Wicker,MC,1,6,guest stars
133590.0,Bevin Prince,Bevin,1,6,guest stars
79499.0,Brett Claywell,Tim,1,6,guest stars
65170.0,Sam Robison,Trainer,1,6,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,7,cast
98050.0,James Lafferty,Nathan Scott,1,7,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,7,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,7,cast
73035.0,Paul Johansson,Dan Scott,1,7,cast
54830.0,Sophia Bush,Brooke Davis,1,7,cast
12852.0,Barry Corbin,Whitey Durham,1,7,cast
4138.0,Craig Sheffer,Keith Scott,1,7,cast
20005.0,Moira Kelly,Karen Roe,1,7,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,7,guest stars
168655.0,Melissa Claire Egan,Lori,1,7,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,7,guest stars
980197.0,Beth W. Crookham,Caterer,1,7,guest stars
106739.0,Mitchell Laurance,Peter,1,7,guest stars
1477847.0,Darryl van Leer,Chuck T.,1,7,guest stars
155965.0,Amy Parrish,Shari Smith,1,7,guest stars
133590.0,Bevin Prince,Bevin,1,7,guest stars
79499.0,Brett Claywell,Tim,1,7,guest stars
1223719.0,Sarah Edwards,Theresa,1,7,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,8,cast
98050.0,James Lafferty,Nathan Scott,1,8,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,8,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,8,cast
73035.0,Paul Johansson,Dan Scott,1,8,cast
54830.0,Sophia Bush,Brooke Davis,1,8,cast
12852.0,Barry Corbin,Whitey Durham,1,8,cast
4138.0,Craig Sheffer,Keith Scott,1,8,cast
20005.0,Moira Kelly,Karen Roe,1,8,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,8,guest stars
166897.0,Lee Norris,Mouth McFadden,1,8,guest stars
93602.0,Antwon Tanner,Skills Taylor,1,8,guest stars
55084.0,Sean Faris,Abercrombie,1,8,guest stars
164618.0,Mike Erwin,Gabe,1,8,guest stars
1411693.0,Hatcher Flaschen,R.A.,1,8,guest stars
143718.0,Tilky Jones,Max,1,8,guest stars
1477848.0,Stephanie Wallace,Casey,1,8,guest stars
79499.0,Brett Claywell,Tim,1,8,guest stars
1215008.0,Vaughn Wilson,Fergie,1,8,guest stars
1215021.0,Cullen Moss,Junk,1,8,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,9,cast
98050.0,James Lafferty,Nathan Scott,1,9,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,9,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,9,cast
73035.0,Paul Johansson,Dan Scott,1,9,cast
54830.0,Sophia Bush,Brooke Davis,1,9,cast
12852.0,Barry Corbin,Whitey Durham,1,9,cast
4138.0,Craig Sheffer,Keith Scott,1,9,cast
20005.0,Moira Kelly,Karen Roe,1,9,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,9,guest stars
166897.0,Lee Norris,Mouth McFadden,1,9,guest stars
174093.0,Traci Dinwiddie,Waitress,1,9,guest stars
74587.0,Terry Loughlin,Doctor,1,9,guest stars
1477851.0,Mark Ellis,Ref,1,9,guest stars
74288.0,Andrea Bowen,Stella (uncredited),1,9,guest stars
133590.0,Bevin Prince,Bevin,1,9,guest stars
79499.0,Brett Claywell,Tim,1,9,guest stars
1223719.0,Sarah Edwards,Theresa,1,9,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,10,cast
98050.0,James Lafferty,Nathan Scott,1,10,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,10,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,10,cast
73035.0,Paul Johansson,Dan Scott,1,10,cast
54830.0,Sophia Bush,Brooke Davis,1,10,cast
12852.0,Barry Corbin,Whitey Durham,1,10,cast
4138.0,Craig Sheffer,Keith Scott,1,10,cast
20005.0,Moira Kelly,Karen Roe,1,10,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,10,guest stars
166897.0,Lee Norris,Mouth McFadden,1,10,guest stars
93602.0,Antwon Tanner,Skills Taylor,1,10,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,10,guest stars
1212134.0,Gavin DeGraw,Gavin DeGraw,1,10,guest stars
92619.0,Drew Seeley,Johnny 'Vegas' Norris,1,10,guest stars
1411696.0,Marcus Bryant,Springer,1,10,guest stars
590183.0,Brian Lafontaine,Bellman,1,10,guest stars
1477853.0,Brandi Ryans,Singing Girl,1,10,guest stars
133590.0,Bevin Prince,Bevin,1,10,guest stars
79499.0,Brett Claywell,Tim,1,10,guest stars
1215008.0,Vaughn Wilson,Fergie,1,10,guest stars
1215021.0,Cullen Moss,Junk,1,10,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,11,cast
98050.0,James Lafferty,Nathan Scott,1,11,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,11,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,11,cast
73035.0,Paul Johansson,Dan Scott,1,11,cast
54830.0,Sophia Bush,Brooke Davis,1,11,cast
12852.0,Barry Corbin,Whitey Durham,1,11,cast
4138.0,Craig Sheffer,Keith Scott,1,11,cast
20005.0,Moira Kelly,Karen Roe,1,11,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,11,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,11,guest stars
59260.0,Ann Cusack,Dr. Nora Thorpe,1,11,guest stars
60705.0,Thomas Ian Griffith,Larry Sawyer,1,11,guest stars
168675.0,Erin Cline,Cute Waitress,1,11,guest stars
79499.0,Brett Claywell,Tim,1,11,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,12,cast
98050.0,James Lafferty,Nathan Scott,1,12,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,12,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,12,cast
73035.0,Paul Johansson,Dan Scott,1,12,cast
54830.0,Sophia Bush,Brooke Davis,1,12,cast
12852.0,Barry Corbin,Whitey Durham,1,12,cast
4138.0,Craig Sheffer,Keith Scott,1,12,cast
20005.0,Moira Kelly,Karen Roe,1,12,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,12,guest stars
60705.0,Thomas Ian Griffith,Larry Sawyer,1,12,guest stars
41249.0,Tess Harper,May Scott,1,12,guest stars
100396.0,Jason Saucier,Customer,1,12,guest stars
29512.0,Gerald McRaney,Royal Scott,1,12,guest stars
168676.0,Gil Johnson,Road Worker,1,12,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,13,cast
98050.0,James Lafferty,Nathan Scott,1,13,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,13,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,13,cast
73035.0,Paul Johansson,Dan Scott,1,13,cast
54830.0,Sophia Bush,Brooke Davis,1,13,cast
12852.0,Barry Corbin,Whitey Durham,1,13,cast
4138.0,Craig Sheffer,Keith Scott,1,13,cast
20005.0,Moira Kelly,Karen Roe,1,13,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,13,guest stars
166897.0,Lee Norris,Mouth McFadden,1,13,guest stars
59260.0,Ann Cusack,Dr. Nora Thorpe,1,13,guest stars
100107.0,Paula Trickey,Carrie,1,13,guest stars
1411698.0,Dorothy Recasner Brown,Dr. Hale,1,13,guest stars
1183804.0,Andrew Masset,Dr. Ryan,1,13,guest stars
168677.0,Greg Thompson,Dr. Adams,1,13,guest stars
79499.0,Brett Claywell,Tim,1,13,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,14,cast
98050.0,James Lafferty,Nathan Scott,1,14,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,14,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,14,cast
73035.0,Paul Johansson,Dan Scott,1,14,cast
54830.0,Sophia Bush,Brooke Davis,1,14,cast
12852.0,Barry Corbin,Whitey Durham,1,14,cast
4138.0,Craig Sheffer,Keith Scott,1,14,cast
20005.0,Moira Kelly,Karen Roe,1,14,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,14,guest stars
166897.0,Lee Norris,Mouth McFadden,1,14,guest stars
93602.0,Antwon Tanner,Skills Taylor,1,14,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,14,guest stars
18891.0,Joan Severance,Cynthia Price,1,14,guest stars
1411698.0,Dorothy Recasner Brown,Dr. Hale,1,14,guest stars
1183804.0,Andrew Masset,Dr. Ryan,1,14,guest stars
168679.0,Michael Harding,Cop,1,14,guest stars
1477856.0,Angie Fox,Amy Quinn,1,14,guest stars
168677.0,Greg Thompson,Dr. Adams,1,14,guest stars
79499.0,Brett Claywell,Tim,1,14,guest stars
1215008.0,Vaughn Wilson,Fergie,1,14,guest stars
1215021.0,Cullen Moss,Junk,1,14,guest stars
2176226.0,Edith Snow,Nurse Molly,1,14,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,15,cast
98050.0,James Lafferty,Nathan Scott,1,15,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,15,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,15,cast
73035.0,Paul Johansson,Dan Scott,1,15,cast
54830.0,Sophia Bush,Brooke Davis,1,15,cast
12852.0,Barry Corbin,Whitey Durham,1,15,cast
4138.0,Craig Sheffer,Keith Scott,1,15,cast
20005.0,Moira Kelly,Karen Roe,1,15,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,15,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,15,guest stars
18891.0,Joan Severance,Cynthia Price,1,15,guest stars
1411698.0,Dorothy Recasner Brown,Dr. Hale,1,15,guest stars
101284.0,Jennifer Massey,Lorraine,1,15,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,16,cast
98050.0,James Lafferty,Nathan Scott,1,16,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,16,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,16,cast
73035.0,Paul Johansson,Dan Scott,1,16,cast
54830.0,Sophia Bush,Brooke Davis,1,16,cast
12852.0,Barry Corbin,Whitey Durham,1,16,cast
4138.0,Craig Sheffer,Keith Scott,1,16,cast
20005.0,Moira Kelly,Karen Roe,1,16,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,16,guest stars
93602.0,Antwon Tanner,Skills Taylor,1,16,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,16,guest stars
2684.0,Emmanuelle Vaugier,Nicki,1,16,guest stars
10750.0,Sheryl Crow,Sheryl Crow,1,16,guest stars
1411187.0,Rick Forrester,Matt Perry,1,16,guest stars
1411701.0,Dean James,Bartender,1,16,guest stars
1477857.0,Christopher Smith,Guitarist,1,16,guest stars
79499.0,Brett Claywell,Tim,1,16,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,17,cast
98050.0,James Lafferty,Nathan Scott,1,17,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,17,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,17,cast
73035.0,Paul Johansson,Dan Scott,1,17,cast
54830.0,Sophia Bush,Brooke Davis,1,17,cast
12852.0,Barry Corbin,Whitey Durham,1,17,cast
4138.0,Craig Sheffer,Keith Scott,1,17,cast
20005.0,Moira Kelly,Karen Roe,1,17,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,17,guest stars
166897.0,Lee Norris,Mouth McFadden,1,17,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,17,guest stars
63107.0,Corri English,Claire Young,1,17,guest stars
60705.0,Thomas Ian Griffith,Larry Sawyer,1,17,guest stars
1411187.0,Rick Forrester,Matt Perry,1,17,guest stars
1411702.0,Brecka Coleman,Reese,1,17,guest stars
168658.0,Melissa Ponzio,Alice,1,17,guest stars
1477858.0,Sarah Lucas,Cheerleader,1,17,guest stars
133590.0,Bevin Prince,Bevin,1,17,guest stars
79499.0,Brett Claywell,Tim,1,17,guest stars
1223719.0,Sarah Edwards,Theresa,1,17,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,18,cast
98050.0,James Lafferty,Nathan Scott,1,18,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,18,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,18,cast
73035.0,Paul Johansson,Dan Scott,1,18,cast
54830.0,Sophia Bush,Brooke Davis,1,18,cast
12852.0,Barry Corbin,Whitey Durham,1,18,cast
4138.0,Craig Sheffer,Keith Scott,1,18,cast
20005.0,Moira Kelly,Karen Roe,1,18,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,18,guest stars
166897.0,Lee Norris,Mouth McFadden,1,18,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,18,guest stars
60705.0,Thomas Ian Griffith,Larry Sawyer,1,18,guest stars
2684.0,Emmanuelle Vaugier,Nicki,1,18,guest stars
190667.0,John Driscoll,Club Boy,1,18,guest stars
1411704.0,Melissa Bragg Lumsden,Girl #2,1,18,guest stars
1477859.0,Maya Tai Dorsey,Girl,1,18,guest stars
168688.0,Johanna Jowett,Girl #1,1,18,guest stars
1477860.0,Caitlin Van Hecke,Girl #3,1,18,guest stars
120291.0,Lou Criscuolo,Driver,1,18,guest stars
78430.0,Julianna Guill,Money Girl,1,18,guest stars
155965.0,Amy Parrish,Shari Smith,1,18,guest stars
1470619.0,Lee Freeman,Booster,1,18,guest stars
133590.0,Bevin Prince,Bevin,1,18,guest stars
79499.0,Brett Claywell,Tim,1,18,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,19,cast
98050.0,James Lafferty,Nathan Scott,1,19,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,19,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,19,cast
73035.0,Paul Johansson,Dan Scott,1,19,cast
54830.0,Sophia Bush,Brooke Davis,1,19,cast
12852.0,Barry Corbin,Whitey Durham,1,19,cast
4138.0,Craig Sheffer,Keith Scott,1,19,cast
20005.0,Moira Kelly,Karen Roe,1,19,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,19,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,19,guest stars
2684.0,Emmanuelle Vaugier,Nicki,1,19,guest stars
1411707.0,Zachary Hermann,Player #2,1,19,guest stars
1411709.0,Kwame Heyward,Player #1,1,19,guest stars
236882.0,J.R. Rodriguez,Buyer,1,19,guest stars
79499.0,Brett Claywell,Tim,1,19,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,20,cast
98050.0,James Lafferty,Nathan Scott,1,20,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,20,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,20,cast
73035.0,Paul Johansson,Dan Scott,1,20,cast
54830.0,Sophia Bush,Brooke Davis,1,20,cast
12852.0,Barry Corbin,Whitey Durham,1,20,cast
4138.0,Craig Sheffer,Keith Scott,1,20,cast
20005.0,Moira Kelly,Karen Roe,1,20,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,20,guest stars
166897.0,Lee Norris,Mouth McFadden,1,20,guest stars
31170.0,Blake Bashoff,Gary Matheson,1,20,guest stars
2684.0,Emmanuelle Vaugier,Nicki,1,20,guest stars
1411701.0,Dean James,Bartender,1,20,guest stars
1238746.0,Richard Bryant,Stoner #1,1,20,guest stars
168695.0,Dan Cox,Customer,1,20,guest stars
1411710.0,Adam Heffernan,College Guy,1,20,guest stars
65423.0,Mike Pniewski,Mr. Carlson,1,20,guest stars
1477861.0,Bobby Tyson,Cop,1,20,guest stars
1477864.0,Drake Johnson,Party Kid,1,20,guest stars
168656.0,Leigh Jones,Popular Girl,1,20,guest stars
1477868.0,Jennifer Owens,Cop #2,1,20,guest stars
1477869.0,Ryan Kowalske,Stoner #2,1,20,guest stars
79499.0,Brett Claywell,Tim,1,20,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,21,cast
98050.0,James Lafferty,Nathan Scott,1,21,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,21,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,21,cast
73035.0,Paul Johansson,Dan Scott,1,21,cast
54830.0,Sophia Bush,Brooke Davis,1,21,cast
12852.0,Barry Corbin,Whitey Durham,1,21,cast
4138.0,Craig Sheffer,Keith Scott,1,21,cast
20005.0,Moira Kelly,Karen Roe,1,21,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,21,guest stars
23821.0,Bryan Greenberg,Jake Jagielski,1,21,guest stars
60705.0,Thomas Ian Griffith,Larry Sawyer,1,21,guest stars
2684.0,Emmanuelle Vaugier,Nicki,1,21,guest stars
1411711.0,Stephen Delaney,Policeman,1,21,guest stars
1411712.0,Henry Garrett Droege,Messenger,1,21,guest stars
159109.0,Richard Fullerton,Security Guard,1,21,guest stars
1477823.0,Shawn Shepard,Principal Turner,1,21,guest stars
79499.0,Brett Claywell,Tim,1,21,guest stars
62747.0,Chad Michael Murray,Lucas Scott,1,22,cast
98050.0,James Lafferty,Nathan Scott,1,22,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,1,22,cast
35472.0,Hilarie Burton,Peyton Sawyer,1,22,cast
73035.0,Paul Johansson,Dan Scott,1,22,cast
54830.0,Sophia Bush,Brooke Davis,1,22,cast
12852.0,Barry Corbin,Whitey Durham,1,22,cast
4138.0,Craig Sheffer,Keith Scott,1,22,cast
20005.0,Moira Kelly,Karen Roe,1,22,cast
44033.0,Barbara Alyn Woods,Deb Scott,1,22,guest stars
166897.0,Lee Norris,Mouth McFadden,1,22,guest stars
2684.0,Emmanuelle Vaugier,Nicki,1,22,guest stars
1411698.0,Dorothy Recasner Brown,Dr. Hale,1,22,guest stars
141191.0,R. Keith Harris,Doctor,1,22,guest stars
168699.0,Brendan Kirsch,Brendan,1,22,guest stars
1411713.0,Marcela Morgan,Nurse,1,22,guest stars
1477871.0,James Rhodes,Thadeus,1,22,guest stars
79499.0,Brett Claywell,Tim,1,22,guest stars
1215008.0,Vaughn Wilson,Fergie,1,22,guest stars
1215021.0,Cullen Moss,Junk,1,22,guest stars
62747.0,Chad Michael Murray,Lucas Scott,2,1,cast
98050.0,James Lafferty,Nathan Scott,2,1,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,2,1,cast
35472.0,Hilarie Burton,Peyton Sawyer,2,1,cast
73035.0,Paul Johansson,Dan Scott,2,1,cast
54830.0,Sophia Bush,Brooke Davis,2,1,cast
12852.0,Barry Corbin,Whitey Durham,2,1,cast
4138.0,Craig Sheffer,Keith Scott,2,1,cast
20005.0,Moira Kelly,Karen Roe,2,1,cast
44033.0,Barbara Alyn Woods,Deb Scott,2,1,cast
168702.0,Huey Lewis,Jimmy James,2,1,guest stars
29710.0,Bess Armstrong,Lydia James,2,1,guest stars
164723.0,Matthew Laurance,Doctor,2,1,guest stars
168703.0,Avis-Marie Barnes,Marion,2,1,guest stars
1477880.0,Heather Shore,Nurse,2,1,guest stars
141191.0,R. Keith Harris,Surgeon,2,1,guest stars
1215007.0,Joseph Gallison,Minister,2,1,guest stars
1477882.0,Leesa Castaneda,Nurse #2,2,1,guest stars
1398830.0,Carly Lang,Maxeen,2,1,guest stars
62747.0,Chad Michael Murray,Lucas Scott,2,2,cast
98050.0,James Lafferty,Nathan Scott,2,2,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,2,2,cast
35472.0,Hilarie Burton,Peyton Sawyer,2,2,cast
73035.0,Paul Johansson,Dan Scott,2,2,cast
54830.0,Sophia Bush,Brooke Davis,2,2,cast
12852.0,Barry Corbin,Whitey Durham,2,2,cast
4138.0,Craig Sheffer,Keith Scott,2,2,cast
20005.0,Moira Kelly,Karen Roe,2,2,cast
44033.0,Barbara Alyn Woods,Deb Scott,2,2,cast
166897.0,Lee Norris,Mouth McFadden,2,2,guest stars
93602.0,Antwon Tanner,Skills Taylor,2,2,guest stars
168702.0,Huey Lewis,Jimmy James,2,2,guest stars
29710.0,Bess Armstrong,Lydia James,2,2,guest stars
1477890.0,Jeffrey West,Doctor,2,2,guest stars
1411715.0,Brad Carlson,Really Cute Guy,2,2,guest stars
1411714.0,Wayne Adams,Amazingly Cute Guy,2,2,guest stars
133590.0,Bevin Prince,Bevin,2,2,guest stars
79499.0,Brett Claywell,Tim,2,2,guest stars
1215008.0,Vaughn Wilson,Fergie,2,2,guest stars
62747.0,Chad Michael Murray,Lucas Scott,2,3,cast
98050.0,James Lafferty,Nathan Scott,2,3,cast
1118081.0,Bethany Joy Lenz,Haley James Scott,2,3,cast
35472.0,Hilarie Burton,Peyton Sawyer,2,3,cast
73035.0,Paul Johansson,Dan Scott,2,3,cast
54830.0,Sophia Bush,Brooke Davis,2,3,cast
12852.0,Barry Corbin,Whitey Durham,2,3,cast
4138.0,Craig Sheffer,Keith Scott,2,3,cast
20005.0,Moira Kelly,Karen Roe,2,3,cast
44033.0,Barbara Alyn Woods,Deb Scott,2,3,cast
166897.0,Lee Norris,Mouth McFadden,2,3,guest stars
93602.0,Antwon Tanner,Skills Taylor,2,3,guest stars
141518.0,Summer Altice,Simone,2,3,guest stars
31170.0,Blake Bashoff,Gary Matheson,2,3,guest stars
