path,path_count,Source,Target
|Julian|Zombie Bridesmaids|,4,Julian,Zombie Bridesmaids
|Karen|Keith|,11,Karen,Keith
|Karen|Larry Sawyer|,1,Karen,Larry Sawyer
|Karen|Lucas|,1,Karen,Lucas
|Karen|Whitey|,1,Karen,Whitey
|Katie|Quinn|,4,Katie,Quinn
|Kylie|Quinn|,1,Kylie,Quinn
|Lauren|Mouth|,1,Lauren,Mouth
|Lauren|Skills|,2,Lauren,Skills
|Lindsey|Lucas|,16,Lindsey,Lucas
|Lindsey|Peyton|,1,Lindsey,Peyton
|Lucas|Masonboro Player|,1,Lucas,Masonboro Player
|Lucas|Nathan|,11,Lucas,Nathan
|Lucas|Nicki|,1,Lucas,Nicki
|Lucas|Peyton|,70,Lucas,Peyton
|Lucas|Psycho Derek|,1,Lucas,Psycho Derek
|Lucas|Rachel|,1,Lucas,Rachel
|Lucas|Ronnie|,1,Lucas,Ronnie
|Lucas|Rusty|,1,Lucas,Rusty
|Lucas|Tim|,1,Lucas,Tim
|Marcus|Skills|,1,Marcus,Skills
|Masonboro Player|Nathan|,1,Masonboro Player,Nathan
|Masonboro Player|Tim|,1,Masonboro Player,Tim
|Melody|Nathan|,1,Melody,Nathan
|Millie|Mouth|,34,Millie,Mouth
|Millie|Owen|,1,Millie,Owen
|Missy|Nick Lachey|,1,Missy,Nick Lachey
|Mouth|Rachel|,3,Mouth,Rachel
|Mouth|Shelley's Ex|,1,Mouth,Shelley's Ex
|Mouth|Shelley|,4,Mouth,Shelley
|Mouth|Skills|,1,Mouth,Skills
|Mouth|Tia|,1,Mouth,Tia
|Nathan|Officer Stevens|,2,Nathan,Officer Stevens
|Nathan|Peyton|,6,Nathan,Peyton
|Nathan|Poker Players|,1,Nathan,Poker Players
|Nathan|Punch Guy|,1,Nathan,Punch Guy
|Nathan|Rachel|,2,Nathan,Rachel
|Nathan|Sergei|,2,Nathan,Sergei
|Nathan|Skills|,1,Nathan,Skills
|Nathan|Taylor|,1,Nathan,Taylor
|Nick (teacher)|Tia|,1,Nick (teacher),Tia
|Nicki|Peyton|,1,Nicki,Peyton
|Owen|Rachel's dealer|,1,Owen,Rachel's dealer
|Pete Wentz|Peyton|,3,Pete Wentz,Peyton
|Peyton|Psycho Derek|,7,Peyton,Psycho Derek
|Peyton|Ravens Mascot|,1,Peyton,Ravens Mascot
|Police Officer|Tim|,1,Police Officer,Tim
|Psycho Derek|Real Derek|,1,Psycho Derek,Real Derek
|Quentin|Xavier|,1,Quentin,Xavier
|Quinn|Taylor|,1,Quinn,Taylor
|Quinn|Zombie Bridesmaids|,1,Quinn,Zombie Bridesmaids
|Rachel|Rusty|,1,Rachel,Rusty
|Rusty|Security Guard #1|,1,Rusty,Security Guard #1
|Sam|Xavier|,2,Sam,Xavier
|Skills|Tim|,1,Skills,Tim
|Tara|Xavier|,1,Tara,Xavier
|Ted|Victoria|,2,Ted,Victoria
