"title","season","episode","rating","votes","original air date","plot","movieID","runtime_min"
"What Is and What Should Never Be","1","20","8.101234567891","403","27 Apr. 2004","Keith has a solicitation as auto-shop teacher in a Charleston school; Lucas is heartbroken his surrogate father may move that far away. Haley and Nathan finally feel cozy living together, but when Dan finds out he sold the car he gave his poor son, he demands the money it fetched unless he moves in with him again- so the kid chooses to stay poor and takes a lousy job serving food in the mall, where a kid he never even noticed in his history class is now the sports heroes' vindictive boss- one visit by Dan convinces even him to go easy on the long-envied golden boy ...","666266","41"
"The Leaving Song","1","21","8.201234567891","398","4 May 2004","The knowledge that Dan actually requested joint custody over Lucas but was turned away by Karen makes Keith doubt her and the Scott boys, who now train together as friends, how their lives would have been growing up as brothers. Peyton and Brooke lose Jake's baby daughter Jenny in the mall, and find Nikki picked her up. Haley is furious when she finds porn sites on Nathans computer, even though everybody else considers cyber-sex innocent fun, no competition for her. Since coach Whitey must have an operation, Dan manages -to his fury- to be made Ravens coach for one ...","666250","42"
"The Games That Play Us","1","22","8.901234567891","485","11 May 2004","The game against Masonboro, coached by Dan, can mean a perfect season for the Ravens. Nathan finally gets Haley over the computer images- and in bed. Brooke swears Peyton she's two-timing Nikki who wants to take Jenny from Jake. Karen is not prepared to see Lucas leave to Charleston with Keith, which makes nearly everybody sad. At the game bully Dan ignores the medical advice to have Lucas' arm X-rayed and keeps it from him so he'll play; Nathan overhears him but passes him the decisive last minute shot, and thus shatters the unbeaten season dream. Just before he ...","666246","44"
"The Desperate Kingdom of Love","2","1","8.301234567891","419","21 Sep. 2004","Nathan and Haley wake up next to each-other, barely able to believe they just got married; flash-backs show how her parents agreed and she nearly chickened out realizing they have not a single identical CD; when they hear Dan is in hospital, she suggests not to tell him right now. Deb takes the news badly in the hospital chapel, blaming the newly-weds while fearing Dan is dying. Lucas has a new haircut as a symbol of his new life with Keith in Charleston; hearing about Dan they make a list of reasons not to go back, but decide Lucas should for Nathan's sake, but Keith...","666244","44"
"Truth Doesn't Make a Noise","2","2","8.301234567891","387","28 Sep. 2004","Lucas is back. He enlists Brooke and Peyton to give a party for Nathan's marriage to Haley, but Deb is too livid, even now Dan is getting better, to consent- Nathan makes clear her and Dan's disapproval are irrelevant, but Dan takes his news surprisingly well and just seems concerned he will give up basketball. Keith tells Karen he hasn't decided whether to leave again; he takes Coach's advice to visit Dan, who seems forgiving even after Deb's infidelity with him, so he decides to run Dan's dealership for a while.","666261","44"
"Near Wild Heaven","2","3","8.301234567891","386","5 Oct. 2004","Tim is dead-set to hire a stripper so Nathan must get a post-wedding bachelor's night; the girls laugh at him - and grab their chance to rip off Nathan's shower towel - but although Haley is worried, Brooke is actually no less eager to throw Haley a killer bridal shower in her expensive style, starting with a limo ride to a private lingerie show followed by a car repair man who doubles as shirtless dancer. Dan is still recovering and atypically friendly, even asking Lucas to forgive him for everything; Deb considers taking him back. Keith starts in Dan's president's ...","666237","42"
"You Can't Always Get What You Want","2","4","7.901234567891","355","12 Oct. 2004","Brooke tells the Latino pool boy he's not allowed to use the swimming pool, and when he gets out finds he was skinny diving- the next morning he turns up at her school in a sports car; it's her new neighbor Felix Taggaro, who is even more flirtatious, self-confident and sassy then she and uses Mouth to find his way. At college Karen gets to know personally her business economics professor Andy Hargrove, a retired self-made tycoon. When Lucas tells he wants to use Dan's rehabilitation to get to know him properly, Nathan gives him his blessing. Dan orders Keith to fire ...","666268","44"
"I Will Dare","2","5","8.801234567891","459","19 Oct. 2004","Felix Taggaro, the new kid in school, makes his grand entry in Tree Hills youth society by organizes a ""dare night"" on personal invitation, test the limits of the coolest kids plus Mouth (who was very helpful) and Tim, who begged hard enough. The tasks for the pairs, both picked by Felix, are very different, unfairly so. Nathan and Tim, get one humiliation after the other, Tim -who feels neglected now Nathan is such a devoted husband- even a full body waxing. Mouth has the fun of his life doing things he would never dare on his own, and his two black teammates, from ...","666229","44"
"We Might as Well Be Strangers","2","6","7.901234567891","360","26 Oct. 2004","Peyton meets cocky record shop clerk Chris Keller who turns out the only good musician on the club's auditions besides Haley, who has too much stage-fright. Coach won't listen when Lucas genuinely suggests to reconsider an eye operation. Lucas learns Anna is overprotective Felix' sister. Nathan gets a once in a lifetime invitation for the three months Highfliers basketball summer-camp in Florida. Now her parents are financially ruined, Brooke decides to recruit Felix as her purely physical toy-boy, and is forced to hold a garage sale. Dan invites Deb to watch the ...","666264","44"
"Let the Reigns Go Loose","2","7","7.901234567891","354","2 Nov. 2004","Felix continues to be Brooke's sex-toy. Chris makes Peyton beg for him to perform at the Tric club opening and hands her a 'rider' (list of demands), which inspires Brooke- about non-committal rules for Felix. Dan tells startled Karen he forgave Keith for sleeping with Deb, news to her. Keith asks Jules to the opening, they become exclusive. Coach, in hospital, understands Nathan gives up Highflyers for Haley's sake; seeing the crowd gives her major stage-fright, but when Chris leaves the stage because the teenage crowd won't listen quietly she plays, to applause, ...","666232","44"
"Truth, Bitter Truth","2","8","8.201234567891","364","9 Nov. 2004","To Brooke's horror, her ma even sold her king-size bed. Chris Keller asks Haley to play and sing on his studio recording that same evening and coaches her well enough to give her confidence and consider a career in music. Karen confronts Peyton about her cocaine experience and tells manager Rick she wants no more ties with him. Keith is happy with Jules in and after bed. Brooke, Peyton, Haley and Anna have a slumber party in Nathan's apartment where Felix is found naked twice, first in bed with Brooke, and secrets and lies are revealed in anger. Meanwhile, Lucas and ...","666262","60"
"The Trick Is to Keep Breathing","2","9","8.101234567891","349","16 Nov. 2004","Haley makes Nathan agree to go to the prom even though his parents will be chaperons; Peyton pays Brooke's chosen dress for it; Lucas tells Felix he's taking Anna; Mouth comes alone 'on the prowl'. Lucas learns Dan is hiding his full recovery. Haley finally accepts to play with Chris in Peyton's club, but they run late, leaving Nathan dancing with his ma; when she finally arrives they are crowned king and queen of the ball but just then Nathan learns she worked with Chris even while he was in Charlotte, and ends up showing he gave up Highflyers for her. After Mouth ...","666257","44"
"Don't Take Me for Granted","2","10","8.401234567891","375","30 Nov. 2004","After the prom, Anna sleeps over at Peyton's- Felix sneers she's getting a worse reputation then his, while Peyton has a hard time with lesbianism-innuendos, even though Brooke says that appeals to boys, but ends up making a stand at school. Brooke finds Nathan slept on Lucas's floor; when he goes home, Haley tells him she respects his sacrifice and wants him to go to Highflyers, but won't do the one thing he asks, stop seeing Chris, so he walks out again and warns Chris in ominous terms and grip. Brooke blames Felix for her broken windshield and rages at him; he ...","666221","60"
"The Heart Brings You Back","2","11","8.101234567891","353","25 Jan. 2005","After Deb's confession to have slept with Keith, Karen shows her the door and later has a misunderstanding which makes her break up with Andy. Haley chickens out on her music career at the last minute, so Chris leaves alone. When she gets home, her older sister Taylor is there. Nathan hopes she won't remember she was his first sex partner at a party in the beach house. They become friends and he decides she can stay a few weeks. Jake is back, without Jenny, for a few days he spends mainly with Peyton. Lucas finds out how Jules' poverty drove her to break Keith's heart...","666247","60"
"Between Order and Randomness","2","12","7.901234567891","338","1 Feb. 2005","Karen decides to make Lucas's life as miserable as possible till he takes the heart test and asks Andy over while his house is in a contractor's hands. Brooke needs a job- the Crab shack hires her, but not as waitress, just 'PR' in a crab suit; she quickly makes friends with the other underpaid girls but is the only one to develop a militant labor union attitude. Lucas confronts Dan about Jules, and is told about Debs adultery with Keith, who cannot deny it and swears Jules is his true love. Taylor sees Haley's tattoo and bugs her and Nathan about not following big ...","666216","44"
"The Hero Dies in This One","2","13","8.201234567891","363","8 Feb. 2005","Brooke plans her presidential campaign with Felix; her opponent is confident, never-defeated Erica Marsh, who lives for the job. Dan asks Lucas to move in with him while offering Keith to pay for a grand wedding with Jules. Nathan discovers lovers e-mail to Chris from Haley on their computer, believes her most are from Taylor and they decide the stirring sister must leave. Jake is back for good, moves in with Peyton and asks coach for a good word at school. Erika plays the campaign dirty, so Brooke decides to pull all the stops and asks Lucas to write her a killer ...","666248","44"
"The Quiet Things That No One Ever Knows","2","14","8.001234567891","336","15 Feb. 2005","Deb is angry to hear from Dan Lucas moves in, but hopeful now Haley has left Nathan he might also return. Nathan is a wreck, and seems determined to wreck his school-prospects; he won't listen to anyone, even hits the still taunting Dan. Jake and Jenny live in Peyton's room, but she is reluctant to become intimate again. Erica stops at nothing to defeat Brooke, but clever speeches by her and Mouth still turn the tide. Lucas seems to feel at home with Dan.","666254","43"
"Unopened Letter to the World","2","15","8.501234567891","357","22 Feb. 2005","Coach tells the students of Tree Hill High to make a video recording for the traditional time capsule they expect to be open in 50 years. When Mouth tells it's sometimes opened early, Anna convinces him to help erase hers- they can't resist watching some other. Lucas moves in with Dan; Andy helps Karen to fight Dan in court, but she fails to remain rational. Nathan continues his self-destruction, believing Haley will never return, quits his job at Dans garage and gets Lucas and him arrested; they fight over Dan and Keith so Lucas tells his true motivation, and Dan ...","666263","44"
"Somewhere a Clock Is Ticking","2","16","8.501234567891","358","1 Mar. 2005","Brooke is high: she's about to be installed as school president and her dad should get another well-paid job. Nathan, still drinking, is livid after a call from Haley she'll be on TV, refuses to go to Keiths wedding, gets no sympathy from coach -who even rats out his fake ID in the liquor store- and drives Deb to abuse pain killers, as Lucas soon finds out. Andy thinks Karen can get Lucas back now his detective found Dan pays all expenses for some Emily Chambers. Chris makes it appear on national TV as if he and Haley are a couple. Best man Lucas takes Brooke, Jake ...","666241","43"
"Something I Can Never Have","2","17","8.101234567891","339","19 Apr. 2005","Niki turns up with a court decision in absentia awarding her custody of Jenny- Andy offers Jake legal help as fleeing is losing. Lucas goes to his ma now the truth is out but decides to stay with Dan as he considers himself the enemy's only weak spot. Keith feels betrayed by everyone; Dan can't resist gloriously admitting having set him up and is physically assaulted. Brooke dreads her impeding departure and realizes she may stay with a friend; Peyton is willing, but her parents refuse. Anna turns Felix in to the principal for writing dike on Peyton's locker, with ...","666240","44"
"The Lonesome Road","2","18","8.201234567891","352","26 Apr. 2005","Lucas and Peyton hide Jake and Jenny at Nathan's place while he chases Haley. Lucas finds Dans secret hiding place for cash and a secret ledger; when he and Andy come get it at night, all is gone. Annas former lover Darby turns up; she ends up coming clean to her parents, who still love her, but returns to boarding school. Nathan accepts an invitation to spend the night at the bar where Taylor lives this week; they drink heavy and participate in the bar dancing show. Niki claims Jennys isn't Jake's biologically. Brooke stays late at a party without permission, misses ...","666252","44"
"I'm Wide Awake, It's Morning","2","19","8.401234567891","390","3 May 2005","Deb's cool younger brother, race pilot Cooper 'Coop' Lee, visits his favorite nephew Nathan and invites him and Lucas to Lowe's Motor Speedway (now Charlotte Motor Speedway), where the boys and his kid brother Jarret get a crash course from competitor Ray Green's daughter Daytona 'Toni' in not crashing for a taste of the race. Dan informs college about Andy's improper relationship with Karen- he must choose and gives his notice. Mouth fakes being drunk so Brooke can 'drive him home'; Erica is a real client, and hits on with him, kissing. Dan finds Deb wasted in the ...","666230","44"
"Lifetime Piling Up","2","20","7.801234567891","372","10 May 2005","While Nathan is unconscious in the hospital, he dreams a nightmare alternative version of his life, in which Dan married Karen and lives with her and Lucas, while Keith is the successful car dealer, Dan is assistant coach and trains Lucas as the Ravens star. Nathan is the poor underdog living with Deb -who runs the café- but may still be recommended for Highflyers by coach Whitey if he wins a duel; Haley is his girlfriend, Brooke makes a pass at him. Karen cheats on Dan with Keith. Peyton goes steady with Lucas but tells Haley to warn Nathan about Lucas' dirty plans; ...","666234","60"
"What Could Have Been","2","21","7.901234567891","343","17 May 2005","Nathan is recovering and back home, but won't tell Lucas what drove him. Brooke pieced together a shredded invoice Lucas sneaked home, so she learns about his investigation for Dans car dealership scam, and Andy makes sense of it but feels Lucas should stop taking risks. Nathan was relieved to hear his hospital bills are all paid, when Dan bursts in; he refuses to move back home even during revalidation, but keeps annulment forms. The kids planned a benefit film night for Nathan's medical bills, and go on just for the fun; to their surprise he appreciates an ...","666265","43"
"The Tide That Left and Never Came Back","2","22","8.501234567891","370","24 May 2005","The class's last essay assignment is about what they lost during the year, which sets some thinking. Karen attacks Dan when she learns he tries to get Andy deported; Andy cleverly trick him to check the black books hiding place. Jake has high hopes to get Jenny back now his attorney found Nikki lied under oath about attending college; but the day before, Nikki visits him to show she found Jenny already... Coach encourages Nathan to go to Highflyers, as he has grown in character enough, but Dan claims his ma Deb will collapse again if he leaves after her return. Karens...","666256","44"
"The Leavers Dance","2","23","8.801234567891","408","24 May 2005","Lucas and Brooke's relationship becomes more intimate when they travel to New York for an overnight stay with Haley.","666249","42"
"Like You Like an Arsonist","3","1","8.601234567891","384","5 Oct. 2005","Haley turned up at Nathans door, asking to be together again, but he is urgently called away to the fire in Dan's office- Deb asks her along. Peyton tells Lucas about Elisabeth who claims to be her -dead- mother but knows things; her dad now says her beloved ma was not her biological mother- she turns away from both. Three months later Brooke returns walking straight up to Lucas, who was however just waiting for Karen. Nathan finally can go to High Flyers, and Haley's declaration of 'never ceased' love doesn't get to him; but there he remains torn between his love for...","666235","43"
"From the Edge of the Deep Green Sea","3","2","8.101234567891","347","12 Oct. 2005","Brooke has a end of the summer party on the beach; Nathan is home from basketball camp; Lucas deals with Brooke's rules for dating; Peyton deals with family issues; Haley tries to tell Nathan how she feels.","666224","43"
"First Day on a Brand New Planet","3","3","8.101234567891","334","19 Oct. 2005","Lucas and Haley dig up, as each year, their previous predictions for the new school year; he decorated Brookes locker- they are arranged alphabetically, making the Scott brothers and Haley neighbors. Mouth pod-cast-interviews Ravens-star Nathan. Dan warns coach Durham he plans to have the school board remove him and Lucas he remembers his arson. Ellie tells Lucas the marijuana is for her cancer pain. When Haley asks coach for help with Nathan, he just gives her a detention slip for entering the boys locker room- Nathan is there to, but pays her no attention; next day,...","666223","43"
"An Attempt to Tip the Scales","3","4","8.401234567891","374","26 Oct. 2005","Lucas and Haley have a ball trying on costumes for a masked ball in Karens club; Lucas hopes to make Brooke accept becoming exclusive. Dan records mayor Mullins having kinky sex and uses the tape to make him drop reelection and support his own run for office; Deb can get her divorce if she endorses him sixty more days, till after the election; she decides to milk the time, spending a fortune on a 'candidate's wife's look' (wardrobe and even a personal trainer Hans) while dumping his cloths and uses a tazer to enforce a distance in bed, but his revenge is as sweet. ...","666214","60"
"A Multitude of Casualties","3","5","8.301234567891","350","2 Nov. 2005","Dan presents the Ravens opening show for the new basketball season, but after the choreographed cheerleaders the boys come rolling in with a public fight between Lucas and Nathan over Haley; then a major flashback... Brooke and Peyton audition would be-cheerleaders; the obvious winner is arrogant, slutty Rachel, who Brooke accidentally indicates when telling Lucas to date another girl. While Dans team plans his mayoral election campaign, Deb deliberately walks in dressed sluttier then a drunk whore. Captain Nathan puts Lucas on the bench for back-talk. Brooke wants to...","666212","43"
"Locked Hearts and Hand Grenades","3","6","7.901234567891","343","9 Nov. 2005","In an effort to keep her cheerleaders from fighting over the same guys, Brooke devises a `Fantasy Boy Draft', Haley and Peyton butt heads over Nathan, while Lucas has trouble keeping up with the brutal pace of basketball practise. Meanwhile, as the election nears, mayoral candidate Dan clashes with his new opponent.","666236","44"
"Champagne for My Real Friends, Real Pain for My Sham Friends","3","7","8.301234567891","354","16 Nov. 2005","As the fantasy draft dates begin, Brooke finds herself on an unusual double date, while Lucas gets closer to Rachel. Meanwhile, Karen and Deb take their campaigning to new heights.","666218","60"
"The Worst Day Since Yesterday","3","8","8.101234567891","340","30 Nov. 2005","After Lucas surprised Chris with Brooke, even her self-confidence isn't enough to remain assured she hasn't really lost the possible love of her life. Chris informs Nathan whom he thought already knew and gets knocked for once more breaking up a relationship for someone he's not even truly in love with. Dan phones the radio station to point out on air his competitor Karen is unmarried and checks on Nathans condition for the new season, but gets the cold shoulder. Tim looks forward to the boys getting tattoos this year. Karen nor cake can cheer up Lucas, who doesn't ...","666259","42"
"How a Resurrection Really Feels","3","9","8.901234567891","410","7 Dec. 2005","Brookes stolen tops from the shop where she worked land her, Haley and Peyton in jail. Nathan refuses to bail them out, but accepts to drive Chris to the man to whom he lost at poker the $2000 for Haleys studio recording; on the road he learns they must win it back playing poker. Lucas bails everyone out but Brooke. After seeing Karen's TV spot of him rouging up Nathan, Dan demands she bows out or he shows the public virtual proof who tried to burn him alive, but after a phone call she stays in the race. Brooke uses her talent with needle and tread to create a ...","666227","44"
"Brave New World","3","10","8.101234567891","339","11 Jan. 2006","Lucas and Peyton take a road trip together to find Ellie. While out of town, Lucas reconnects with a friend from his past.","666217","43"
"Return of the Future","3","11","8.101234567891","327","18 Jan. 2006","Another terrible Ravens game; coach blames everything on total lack of team spirit. Keith is back, admitting to Lucas his fiancé Jules was not what he hoped, and just no match for Karen. Brooke must take the couch at Nathans place, but gets invited for Rogue Vogue, a fashion talent show in New York. Nathan fears Dan was right to suggest Haleys sudden lack of birth control is all too convenient. Coach punishes the boys by transferring them from the glorious stadium to a dump which they must first clean up; Nathan walks out, but after talking to Lucas and Dan about his ...","666239","43"
"I've Got Dreams to Remember","3","12","8.301234567891","340","25 Jan. 2006","Keith is arrested as suspect for the arson attempt on his brother Dan, but to the mayors anger soon released for lack of proof. The kids are supposed to get counseling about choosing a college, but nearly all have their minds elsewhere. Nathan and Haley make up, but have chosen colleges 3000 miles apart. Brooke believes Rachel deliberately entered her for the New York fashion contest because it's the same day as the cheerleaders' high-day, the Classic. Ellie insists Peyton shouldn't doubt about going to college at all. Mouth has enough of Brookes bitching, so he goes ...","666231","43"
"The Wind That Blew My Heart Away","3","13","9.101234567891","470","1 Feb. 2006","During a bad storm, Lucas spends the night with Brooke, who is upset because the last line of his letter is identical to one he once wrote to Peyton about love forever; he must chase her in the pouring rain, suggesting she just wants an excuse to break up; they make up in bed. Now Haley's record is finished after three weeks, Ellie plans to leave Peyton again but stays during the storm, reminiscing. Mouth visits Rachel to watch a movie in her bedroom, she tries to build up his confidence and coach him in womanizing, he wants to remain his honest self, turns down ...","666258","60"
"All Tomorrow's Parties","3","14","8.701234567891","403","8 Feb. 2006","It's the weekend of the Classic in Charlotte for the Ravens and their cheerleaders. Haley and Peyton go on a road trip with Brooke to New York for the Rogue Vogue fashion show before hopping on a plane to Charlotte in time for the secret sparkle classic cheer competition. A schedule change in New York though means Brooke has a big decision to make. Rachel does everything she can to mess with Brooke and Coach Durham interferes with chaperones Karen and Keith's weekend.","762897","42"
"Just Watch the Fireworks","3","15","8.801234567891","390","15 Feb. 2006","Last year's time-capsule is maliciously opened 49 years early, revealing many kids' embarrassing secrets, lies and even worse truths, shown on TV screens at school and even on the Internet. Peyton prepares a benefit for the National Breast-cancer action, in memory of her recently deceased ma Ellie Harp; it rocks and brings most kids back together. Keith announces his engagement to Karen and his plan to adopt Lucas. Jimmy Edwards, who bagged the worst on everyone in his time-capsule speech, gets roughed up, but the Scott brothers, Mouth and Rachel save his bacon. Dan ...","762898","44"
"With Tired Eyes, Tired Minds, Tired Souls, We Slept","3","16","9.701234567891","1633","1 Mar. 2006","A dangerous day at Tree Hill High gives Nathan and Lucas a common goal, as they put their lives on the line to save their friends when a distraught student comes to school with a gun and holds Haley hostage.","757574","44"
"Who Will Survive, and What Will Be Left of Them","3","17","9.001234567891","435","29 Mar. 2006","Keith Scott's funeral arouses memories, especially from his one-day bride-to-be Karen and his brother and killer Dan about their childhood, so he starts to feel haunted by Keith as a little boy, then his beloved big brother. Lucas won't hear a word about mad student Jimmy Edwards, thinking as everybody he was the murderer before the kid committed suicide. Nathan is so happy again with Haley that he tells her, now his ma Deb is returning, they will move out of the parental home and back with Brooke- his love for Haley is the center of Nathans life again. The school has...","762899","43"
